# song_key (normalized title|performer)	genres
always the love songs|eli young band	ROCK,COUNTRY
always together|al martino	POP
always together|dells	RNB,ELECTRONIC
always tomorrow|gloria estefan	POP,LATIN
always|atlantic starr	RNB,ELECTRONIC
always|bon jovi	ROCK,METAL
always|erasure	POP,ROCK,ELECTRONIC
always|firefall	POP,ROCK,COUNTRY,FOLK
always|luther ingram	RNB
always|saliva	ROCK,HIP_HOP,METAL
alyssa lies|jason michael carroll	COUNTRY
am i black enough for you|billy paul	RNB,ELECTRONIC
am i grooving you|freddie scott	RNB
am i that easy to forget|engelbert humperdinck	POP
am i the only one|dierks bentley	COUNTRY
am i the same girl|barbara acklin	RNB
am i the same girl|swing out sister	POP,ROCK
am i wrong|nico and vinz	POP,HIP_HOP
am to pm|christina milian	POP,RNB
amanda|boston	POP,ROCK
amanda|waylon	COUNTRY
amarillo sky|jason aldean	COUNTRY
amarillo|neil sedaka	POP,ROCK,RNB,FOLK
amazed|lonestar	COUNTRY
amazing grace|judy collins	POP,FOLK
amazing|aerosmith	ROCK
amazing|josh kelley	POP
amazing|kanye west featuring young jeezy	HIP_HOP
amber cascades|america	POP,ROCK,COUNTRY,FOLK
amen|impressions	POP,RNB
amen|otis redding	RNB
america communicate with me|ray stevens	POP,COUNTRY
america is my home pt 1|james brown and the famous flames	RNB
american baby|dave matthews band	POP,ROCK
american boys|petula clark	POP,ROCK,FOLK
american child|phil vassar	COUNTRY
american country love song|jake owen	COUNTRY
american girl|bonnie mckee	POP
american heartbeat|survivor	POP,ROCK
american honey|lady antebellum	POP,COUNTRY
american idiot|green day	ROCK,PUNK
american kids|kenny chesney	COUNTRY
american life|madonna	POP
american made|oak ridge boys	COUNTRY
american music|pointer sisters	POP,RNB,ELECTRONIC
american oxygen|rihanna	POP,RNB
american pie|madonna	POP
american ride|toby keith	COUNTRY
american saturday night|brad paisley	COUNTRY
american soldier|toby keith	COUNTRY
american star|lil wayne featuring shanell aka snl	POP,HIP_HOP
american storm|bob seger	POP,ROCK,FOLK
american tune|paul simon	POP,ROCK,FOLK
american woman|lenny kravitz	POP,ROCK
america|neil diamond	POP,ROCK,FOLK
america|prince and the revolution	RNB
america|simon and garfunkel	POP,ROCK,FOLK
