# normalized_key	display_name	genres
blaine larsen	Blaine Larsen	COUNTRY
blair	Blair	OTHER
blake lewis	Blake Lewis	POP
blake shelton	Blake Shelton	COUNTRY
blaque	Blaque	POP,RNB
blendells	The Blendells	OTHER
blessid union of souls	Blessid Union Of Souls	POP,ROCK,PUNK
blind melon	Blind Melon	POP,ROCK,METAL
blink 182	blink-182	PUNK
blinky	Blinky	OTHER
blocboy jb	BlocBoy JB	HIP_HOP
blondie	Blondie	POP,ROCK,ELECTRONIC
blood sweat and tears	Blood, Sweat & Tears	POP,ROCK,RNB,COUNTRY,FOLK
bloodhound gang	Bloodhound Gang	RNB,PUNK,METAL
bloodpop	BloodPop®	POP
bloodrock	Bloodrock	RNB
bloodstone	Bloodstone	RNB
blow monkeys	The Blow Monkeys	POP,ROCK,ELECTRONIC
blu cantrell	Blu Cantrell	POP,RNB
blue	Blue	OTHER
blue cheer	Blue Cheer	ROCK,RNB,PUNK
blue county	Blue County	COUNTRY
blue haze	Blue Haze	OTHER
blue magic	Blue Magic	RNB,ELECTRONIC
blue mercedes	Blue Mercedes	OTHER
blue mink	Blue Mink	POP
blue october	Blue October	POP,ROCK,METAL
blue oyster cult	Blue Öyster Cult	POP,ROCK,RNB,METAL
blue swede	Blue Swede	POP
blues brothers	The Blues Brothers	RNB
blues image	Blues Image	OTHER
blues magoos	The Blues Magoos	POP,ROCK,PUNK
blues project	The Blues Project	ROCK
blues traveler	Blues Traveler	POP,ROCK,RNB
blur	Blur	POP,ROCK,ELECTRONIC
bo bice	Bo Bice	POP
bo diddley	Bo Diddley	ROCK,RNB
bo donaldson and the heywoods	Bo Donaldson & The Heywoods	POP
bob and doug mckenzie	Bob & Doug McKenzie	OTHER
bob and earl	Bob & Earl	RNB
bob crewe generation	The Bob Crewe Generation	OTHER
bob dylan	Bob Dylan	POP,ROCK,FOLK
bob geldof	Bob Geldof	FOLK
bob james	Bob James	RNB,JAZZ
bob kuban and the in men	Bob Kuban & The In-Men	OTHER
bob lind	Bob Lind	OTHER
bob marley and the wailers	Bob Marley & The Wailers	OTHER
bob seger	Bob Seger	POP,ROCK,FOLK
bob weir	Bob Weir	ROCK,RNB,COUNTRY,FOLK
bob welch	Bob Welch	POP,ROCK,COUNTRY,FOLK
bobbi martin	Bobbi Martin	OTHER
bobbie gentry	Bobbie Gentry	POP,COUNTRY,FOLK
bobby bare	Bobby Bare	COUNTRY
bobby bloom	Bobby Bloom	POP
bobby blue bland	Bobby "Blue" Bland	RNB
bobby boris pickett and the crypt kickers	Bobby "Boris" Pickett & The Crypt-Kickers	OTHER
bobby brackins	Bobby Brackins	HIP_HOP
bobby brown	Bobby Brown	POP,HIP_HOP,RNB
bobby byrd	Bobby Byrd	OTHER
bobby caldwell	Bobby Caldwell	POP
bobby darin	Bobby Darin	POP,ROCK,RNB,JAZZ
bobby freeman	Bobby Freeman	POP,ROCK,RNB
bobby fuller four	The Bobby Fuller Four	POP,ROCK,FOLK
bobby goldsboro	Bobby Goldsboro	POP,ROCK,COUNTRY,FOLK
bobby hart	Bobby Hart	POP
bobby hebb	Bobby Hebb	RNB
bobby helms	Bobby Helms	OTHER
bobby mcclure	Bobby McClure	OTHER
bobby mcferrin	Bobby McFerrin	OTHER
bobby moore	Bobby Moore	RNB
bobby moore and the rhythm aces	Bobby Moore & The Rhythm Aces	RNB
bobby pinson	Bobby Pinson	COUNTRY
bobby powell	Bobby Powell	RNB
bobby rydell	Bobby Rydell	POP,ROCK,RNB
bobby shafto	Bobby Shafto	OTHER
bobby sherman	Bobby Sherman	POP
bobby shmurda	Bobby Shmurda	HIP_HOP
